,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,1gXKzs-1EPxJ7gkHW6SDyg,chun-yang-tea-flushing-new-york-flushing,Chun Yang Tea - Flushing New York,https://s3-media2.fl.yelpcdn.com/bphoto/Jn1hKGaBEEo2fHRDwf82VQ/o.jpg,False,https://www.yelp.com/biz/chun-yang-tea-flushing-new-york-flushing?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,107,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.758001, 'longitude': -73.8299476772982}","['pickup', 'delivery']","{'address1': '133-41 41st Ave', 'address2': None, 'address3': '', 'city': 'Flushing', 'zip_code': '11355', 'country': 'US', 'state': 'NY', 'display_address': ['133-41 41st Ave', 'Flushing, NY 11355']}",+13477329680,(347) 732-9680,2380.777354883268,
1,wusuW7VDDWEGKfOBbm2k_g,xing-fu-tang-flushing,Xing Fu Tang,https://s3-media1.fl.yelpcdn.com/bphoto/vkKNlhkKwGxxLPZv0Or06g/o.jpg,False,https://www.yelp.com/biz/xing-fu-tang-flushing?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,164,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",4.0,"{'latitude': 40.75816, 'longitude': -73.82982}","['pickup', 'delivery']","{'address1': '40-52 Main St', 'address2': None, 'address3': '', 'city': 'Flushing', 'zip_code': '11345', 'country': 'US', 'state': 'NY', 'display_address': ['40-52 Main St', 'Flushing, NY 11345']}",+16462062848,(646) 206-2848,2389.9509526965307,$
2,b9yBl6sORC27RXKNf1Ec6Q,coco-fresh-tea-and-juice-great-neck,CoCo Fresh Tea & Juice,https://s3-media2.fl.yelpcdn.com/bphoto/uOE2TO1jxmfLlLrc2eXdPQ/o.jpg,False,https://www.yelp.com/biz/coco-fresh-tea-and-juice-great-neck?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,3,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",5.0,"{'latitude': 40.774776, 'longitude': -73.732666}","['pickup', 'delivery']","{'address1': '501 Great Neck Rd', 'address2': None, 'address3': '', 'city': 'Great Neck', 'zip_code': '11021', 'country': 'US', 'state': 'NY', 'display_address': ['501 Great Neck Rd', 'Great Neck, NY 11021']}",,,6794.0286742169965,
3,lE-SOH9bN462YiKvyBTpsg,song-tea-flushing,Song Tea,https://s3-media2.fl.yelpcdn.com/bphoto/BL7Ob-lhTbk3hQXrYY1kgw/o.jpg,False,https://www.yelp.com/biz/song-tea-flushing?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,7,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.760441, 'longitude': -73.830381}",[],"{'address1': '38-21 Main St', 'address2': '', 'address3': None, 'city': 'Flushing', 'zip_code': '12354', 'country': 'US', 'state': 'NY', 'display_address': ['38-21 Main St', 'Flushing, NY 12354']}",+17188868254,(718) 886-8254,2552.6525393009115,
4,9_PfzNxJP2iqqJs8hDubgw,boba-guys-new-york,Boba Guys,https://s3-media4.fl.yelpcdn.com/bphoto/4xGJCNkMzf5f48rGNwNtSw/o.jpg,False,https://www.yelp.com/biz/boba-guys-new-york?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,670,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.720657, 'longitude': -73.984542}",[],"{'address1': '23 Clinton St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['23 Clinton St', 'New York, NY 10002']}",,,15414.09627467949,$
5,bn0zZ9nT_j1INOwfpxWmEw,tiger-sugar-flushing,Tiger Sugar,https://s3-media2.fl.yelpcdn.com/bphoto/HQJ0NLFK7TkBW4nXGFKPIA/o.jpg,False,https://www.yelp.com/biz/tiger-sugar-flushing?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,677,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",4.0,"{'latitude': 40.75918, 'longitude': -73.83041}","['pickup', 'delivery']","{'address1': '4010 Main St', 'address2': 'Ste A', 'address3': '', 'city': 'Flushing', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['4010 Main St', 'Ste A', 'Flushing, NY 11354']}",+13477324001,(347) 732-4001,2474.2075887247115,$
6,39Kh4gLoKMKUYNhOXbm3ow,one-zo-new-york-new-york,One Zo - New York,https://s3-media3.fl.yelpcdn.com/bphoto/IvR0uridXNVdZ0YaGg2bpg/o.jpg,False,https://www.yelp.com/biz/one-zo-new-york-new-york?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,48,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 40.7328790403907, 'longitude': -73.9877050369978}",[],"{'address1': '110 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['110 3rd Ave', 'New York, NY 10003']}",,,15471.312510224037,$
7,SU4eCPWGHu-mrgzU9zWQdw,moge-tee-bayside-bayside,Moge Tee - Bayside,https://s3-media4.fl.yelpcdn.com/bphoto/QeIVPMPvD2H3obUSVm6zvg/o.jpg,False,https://www.yelp.com/biz/moge-tee-bayside-bayside?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,51,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.760879, 'longitude': -73.769338}","['pickup', 'delivery']","{'address1': '4319 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11364', 'country': 'US', 'state': 'NY', 'display_address': ['4319 Bell Blvd', 'Bayside, NY 11364']}",+13478368831,(347) 836-8831,3349.2291460871347,
8,dnhEMFIYnkF0ke5oWv9hMg,bambu-new-york,BAMBU,https://s3-media2.fl.yelpcdn.com/bphoto/NW3oHyOp1Gpl8R0L_eZldQ/o.jpg,False,https://www.yelp.com/biz/bambu-new-york?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,39,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"{'latitude': 40.71697, 'longitude': -73.99471}","['pickup', 'delivery']","{'address1': '124B Hester St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['124B Hester St', 'New York, NY 10002']}",+13479488892,(347) 948-8892,16339.759281943652,
9,-yyCWn1iihJ3XpFNIq16-w,shiny-tea-new-york,Shiny Tea,https://s3-media2.fl.yelpcdn.com/bphoto/HrWCv7jGzo_kEIxWX_eRyg/o.jpg,False,https://www.yelp.com/biz/shiny-tea-new-york?adjust_creative=mtMLMIwywHG5p5-lVF0Z4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mtMLMIwywHG5p5-lVF0Z4w,119,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",4.5,"{'latitude': 40.79823, 'longitude': -73.9695}","['pickup', 'delivery']","{'address1': '2667 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['2667 Broadway', 'New York, NY 10025']}",+12122226134,(212) 222-6134,14938.920721068565,$
